"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Sioux County","IA",,"19","167",1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191950,189450,182500,194900,210000,219000,192400,185000,185000,187000,179000,189900,182750,179700,182400,179900,179900,179250,182500,186500,189900,195000,194250,195000,179000,187500,184900,189500,194500,189500,197450,204000
"Lyon County","KS","Emporia","20","111",1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119450,121400,122200,109950,109900,123750,119200,124950,125000,119000,119500,124900,130000,125000,130950,126400,119900,105900,109900
"Preston County","WV","Morgantown","54","077",1296,173000,169900,173900,178350,173450,173450,169900,169450,169000,169450,165000,164449.5,161950,152000,163900,167000,163450,155000,161450,159000,163000,150000,139000,135000,135000,134000,136500,138000,145250,145000,149500,149500,149900,149900,149900,149000,152000,155500,149947.5,157000,149900,153950,160000,156800,156400,158000,149900,148500,159000,155500,163500,159900,163900,165000,165000,164900,159900,159900,159900,159900,155000,156500,150000,149900,149900,155000,160000,159900,159900,158900,156000,153200,149500,149500,152000,152000,154850,158800,165000,164450,169000,168000,169250,169250,169000,168000,163700,167700,164700,164900,166800,169000,164800,165000,165000,162950,165000,156850,159450,159000,163000,159850,163000,165000,169000,165000
"Gibson County","IN",,"18","051",1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,124900,122400,119900,104350,99700,92000,97250,94000,94894,104500,94900,101550,94900,94894,104500,109950,109900,109900,109900,109800,109800,99900,109900,119800,119894,102900,99900,89900,97000,99900,107900,99900,94900,95500,85500,84700,87300,85000,90900,86950,84950,87000,89894,95370.5,93500,99900,107300,109900,108900,105000,105000,106900,108950,104900,104900,114250,111200,119000,109900,117850,125000,117950,114700,109888,107394,104900,109000,105900,112250,1e+05,1e+05,115000,129900,127000,127000
"Orange County","VA",,"51","137",1298,220500,224450,220000,224900,227500,224900,220000,219000,219700,209475,204900,2e+05,199900,189900,199900,199990,205000,209900,212000,215000,217500,215000,214995,209900,199900,199998,199999,199900,199990,205000,204900,201500,205000,209900,209000,204900,205000,199995.5,199900,205000,209900,219900,214900,219900,214950,224900,215000,209900,219900,219900,220000,225000,229000,225000,225700,229000,229900,228900,224949.5,219900,219900,220000,224900,224900,228000,229000,229900,228000,235000,229950,237500,232000,239950,241900,247900,259945,265000,262250,255000,249994.5,249900,248450,245900,239985,239985,239900,245000,249000,249900,255000,257000,259900,259999,257950,259990,259990,259999,264700,265000,271500,270000,274900,274900,271900,270000,268900
"Jasper County","IN","Chicago-Naperville-Elgin","18","073",1299,153850,152200,159900,159700,154900,154900,155650,149900,149900,149900,150000,149400,144900,145000,149500,149900,150000,149900,149900,149900,149500,149900,140450,147000,149900,149900,149900,148900,146000,139900,143000,142250,149900,145700,148900,142000,143450,144900,142000,141900,140000,149000,147500,144900,143950,141250,139900,143900,142500,141400,144900,144900,149900,149900,149900,149900,144900,139900,142450,139900,139900,140000,148400,149900,162400,149900,156450,159450,156700,153900,154400,150200,146250,152250,149900,149900,156000,167000,174900,174900,179900,169900,169900,159900,159900,165000,174900,171000,169900,174900,179000,174950,179900,171750,169900,169900,189200,189200,199450,204900,214900,214900,193450,183999,180000,178700
"Randolph County","IL",,"17","157",1300,88950,90750,99500,105000,114900,115000,119900,119900,115001,116684.5,119968.5,110000,106900,109900,115000,116500,118000,118000,118000,109900,105000,99000,91250,94750,95000,95000,95500,95000,86950,87000,85000,85000,79900,78750,72000,76000,77000,79900,82650,83775,82000,83900,83900,83000,89900,95000,95000,95000,90000,90000,89500,89700,94900,97100,95250,98050,99450,99000,99000,98500,91500,94000,93450,87000,85000,85000,79900,85000,89500,87500,85250,81000,88200,88750,94250,89000,90000,89000,92000,89000,91000,94250,99900,89250,89250,86000,84500,84900,85000,82000,82250,83900,89500,88700,87900,87950,87000,85000,88000,87500,86000,87950,87999.5,87500,89900,86000
"Kendall County","TX","San Antonio-New Braunfels","48","259",1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424900,408990,389990,398995,360432,353950,339994.5,368500,379750,371495,402102,399900,381490,392990,368995,395990,390995,363990,414995,397000,399900,399571,401391.5,385000,399735.5,406990,403919.5,399000,394388,394995,399000,392945,404000,410990,400214,399990,398385,4e+05,394990,390900,394990,393990,397995,399995,398990,402945,402153,399990
"Iberville Parish","LA","Baton Rouge","22","047",1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179970,176900,178400,179900,174985,172500,183000,179900,187500,191900,169900,174900,162450,175000,182900,181450,177000,152500,150000,150000,165000,165000,176950,175000,165500,159900,149900,149949.5,150500,150500,162500,162500,165900,152900,151450,151450,149750,152900,165000,179950,199900,215000,219000,215000,210000,219700,202900,199200,200900,190000,197445,207000,202900,197500,200950,201900,2e+05,206947.5,214355,215000,215422.5,214960,215402.5,208512.5
"Lafayette County","MO","Kansas City","29","107",1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000,129900,134575,129950,122500,122250,124700,122400,125000,125000,128450,125000,119700,126450,120850,125000,116500,112900,109900,104950,94500,105900,109900,118450,131950,136000,138950,144900,149500,150000,150000,145000
