"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Reno","Reno","NV","Reno, NV, NV","Reno, NV",86,8.72739621360047,90.07,,,362100,0.415973377703827,8.86951292844257,0.103338856669428,,0.0519849144176963,0.0239780099330506,62
"City","Buffalo","Buffalo","NY","Buffalo, NY, NY","Buffalo, NY",87,8.90907547329994,,0,0,82500,1.35135135135135,13.4800550206327,0.148666666666667,,0.0880422995383066,0.0566219250744135,92
"City","Mobile","Mobile","AL","Mobile, AL, AL","Mobile, AL",88,4.92401731895747,,,,118100,0.682011935208866,7.46132848043676,0.0574428450465707,,0.171515225757087,0.0356845448826117,89
"City","Hialeah","Hialeah","FL","Miami-Fort Lauderdale, FL, FL","Miami-Fort Lauderdale, FL",89,8.06435181254775,89.66,0,0,279600,0.902201371346084,10.9964271536324,0.0694527896995709,,0.117104974304154,0.0124499858506265,83.5
"City","San Bernardino","San Bernardino","CA","Riverside, CA, CA","Riverside, CA",90,3.68537227268868,92.44,0.0145,1.3,281300,0.21375133594585,8.98876404494382,0.0667472449342339,,0.0848747452119137,0.0383685467021601,65
"City","Chula Vista","Chula Vista","CA","San Diego, CA, CA","San Diego, CA",91,4.23210798879362,88.14,0,0.73,535800,0.0747104968248039,5.18256772673734,0.0299776035834267,,0.0598600384455364,0.0219308927054687,57
"City","Saint Petersburg","Saint Petersburg","FL","Tampa, FL, FL","Tampa, FL",92,6.94710926224637,90.99,0.0031,0.24,216200,0.511390051139005,11.8468701500259,0.0573265494912119,,0.0637346022232809,0.0215969341846531,74
"City","Pensacola","Pensacola","FL","Pensacola, FL, FL","Pensacola, FL",93,5.44528397996434,91.67,,,139000,0.870827285921626,10.5807478122514,0.0452014388489208,,0.13655416771561,0.0304359963577903,79
"City","Lawrenceville","Lawrenceville","GA","Atlanta, GA, GA","Atlanta, GA",94,6.63299091603701,,0.0165,0.43,212400,0.902612826603325,11.6132422490804,0.0515677966101695,,0.0574445534107109,0.0254488999718483,57
"City","Winston-Salem","Winston-Salem","NC","Winston-Salem, NC, NC","Winston-Salem, NC",95,1.49588250275915,77.62,0.0439,2.08,131100,1.00154083204931,5.89660743134087,0.0712051868802441,,0.112959101732689,0.0324065169490725,58
"City","Spokane","Spokane","WA","Spokane, WA, WA","Spokane, WA",96,5.63035911367688,92.07,0.0081,2.52,200300,0.855991943605237,12.0246085011186,0.0917373939091364,,0.0577474102536722,0.0211577648846343,50
"City","Madison","Madison","WI","Madison, WI, WI","Madison, WI",97,4.51396553187877,93.23,0.0063,0.15,250800,0.0398883127243718,6.72340425531915,0.0631020733652312,,0.0433171624122129,0.0126211095374254,61
"City","Norfolk","Norfolk","VA","Virginia Beach, VA, VA","Virginia Beach, VA",98,0.0891416928431955,77.65,0.0926,5.08,185600,0.161899622234215,1.86608122941822,0.0269665948275861,,0.247468268179461,0.0327732586768316,78
"City","Glendale","Glendale","AZ","Phoenix, AZ, AZ","Phoenix, AZ",99,4.95373121657186,87.55,0.0061,1.16,229400,0.835164835164835,8.92687559354226,0.0405797733217088,,0.0856111034391561,0.0170400735403479,55
"City","Scottsdale","Scottsdale","AZ","Phoenix, AZ, AZ","Phoenix, AZ",100,4.66253501995076,83.61,0.0013,0.75,469400,0.492399914365232,6.22312740439013,0.0331295270558158,,0.0759730525297819,0.00999897499780249,80
"City","Fayetteville","Fayetteville","NC","Fayetteville, NC, NC","Fayetteville, NC",101,0.393921385516597,50,,,107200,-0.186219739292365,6.56063618290259,-0.00197761194029855,,0.275845410269669,0.039947500310106,108
"City","Boise","Boise","ID","Boise City, ID, ID","Boise City, ID",102,6.73741404193904,92.39,0.0035,0.37,277300,1.35233918128655,15.2535328345802,0.0175802380093761,,0.032287335841856,0.00792843664249068,44
"City","Irvine","Irvine","CA","Los Angeles-Long Beach-Anaheim, CA, CA","Los Angeles-Long Beach-Anaheim, CA",103,5.37481959419306,90.44,0.0061,0,862800,-0.196645459803355,3.97686189443239,0.0177051460361612,,0.0459046899432609,0.00469311596657356,63
"City","Laredo","Laredo","TX","Laredo, TX, TX","Laredo, TX",104,6.86051447491298,100,,,140800,0.427960057061341,5.94431903686983,0.00992897727272735,,,,93.5
"City","Sarasota","Sarasota","FL","North Port-Sarasota-Bradenton, FL, FL","North Port-Sarasota-Bradenton, FL",105,6.30189319976229,89.12,0.005,0.1,257400,0.116686114352392,5.01835985312117,0.0764685314685314,,0.0438133861045654,0.0177533141562302,103
